Posted Date,Number of Applicants,Remote/Onsite,Company Size,Average Salary (LPA),Experience (Years),Days Until Deadline,Company Size (Encoded),Job Title_Business Analyst,Job Title_Cyber Security Analyst,Job Title_Data Scientist,Job Title_Financial Analyst,Job Title_Graphic Designer,Job Title_HR Manager,Job Title_Marketing Executive,Job Title_Product Manager,Job Title_Sales Representative,Job Title_Software Engineer,Company Name_Accenture,Company Name_Amazon,Company Name_Deloitte,Company Name_Google,Company Name_HCL,Company Name_IBM,Company Name_Infosys,Company Name_Microsoft,Company Name_TCS,Company Name_Wipro,Job Location_Ahmedabad,Job Location_Bangalore,Job Location_Chennai,Job Location_Delhi,Job Location_Hyderabad,Job Location_Jaipur,Job Location_Kolkata,Job Location_Mumbai,Job Location_Noida,Job Location_Pune,Job Type_Contract,Job Type_Full-time,Job Type_Internship,Job Type_Part-time,Education Requirement_B.Sc,Education Requirement_B.Tech,Education Requirement_M.Tech,Education Requirement_MBA,Education Requirement_PhD,Job Portal_Indeed,Job Portal_LinkedIn,Job Portal_Naukri.com,aws,c++,digital marketing,excel,java,machine learning,python,react,sql,ui/ux
16-01-2025,23,0,Small (1-50),6.5,3.5,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,0,0,0,0,1,0,1,0
25-12-2024,462,0,Large (500+),6.5,3.5,25,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,1,0,0,0,0,1,0,1,0
22-01-2025,430,0,Large (500+),20,7.5,7,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,1,0,1,0,1,0,0
07-01-2025,387,1,Small (1-50),20,3.5,30,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,1,0,1,0
26-12-2024,199,2,Small (1-50),16,10,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,1,0,0,1,0,0,0,0,1
27-12-2024,281,0,Large (500+),6.5,7.5,13,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,0,0,0,0,0,1,1,0
30-12-2024,489,1,Large (500+),6.5,7.5,14,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0,0,0,0,1,0,1,0
10-01-2025,350,2,Medium (51-500),6.5,1,20,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1,0,0,1,0,1,0,0
21-01-2025,323,2,Medium (51-500),6.5,7.5,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,1,1,0,1,0,0,0
06-01-2025,469,0,Large (500+),16,7.5,16,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,0,0,0,0,0,1,1,0
